compound,p0,DeltaH
0,1.2614644763258165,31.81918730015417
1,0.023606984213801755,36.42317142446532
2,0.0004267153344372888,50.87092140838297
3,2.746193088275312e-06,63.782348983333925
4,3.319607119063234e-05,57.801147537852614
5,1.1968560209346505e-07,67.84516912758258
6,1.4467634430190692e-06,61.86396768210126
7,5.630361516934823e-13,97.24987769046957
8,8.559915082162787e-11,80.41485445546874
9,3.294195203007695e-11,88.78249515490751
10,9.196348887472229e-12,120.0023257190904
11,5.630361516934823e-13,97.24987769046957
12,3.199618033937938e-14,114.46612582061066
13,1.7701766738349517e-14,112.91877784556307
14,6.144030451751563e-08,64.28053201230476
15,1.0082542650302154e-09,72.78739719594228
16,1.7701766738349517e-14,112.91877784556307
17,1.8148006726552288e-12,85.22230392892176
18,1.0098179527982961e-12,85.52694353591116
19,6.9669758828936065e-09,73.67764363834958
20,3.71315214861314e-09,98.72325744470068
21,1.3512261690158534e-11,114.01093270465394
22,3.100396289229748e-10,109.94811256040529
23,5.600611944395594e-13,135.6818814442515
24,5.568520260205069e-13,133.82989386221453
25,3.098517547411346e-13,134.1345334692039
26,8.514686402991743e-11,118.84685820925067
27,5.479759235641934e-13,131.75828578420163
28,6.623950750969865e-12,125.77708433872031
29,8.39168779574222e-12,112.37936557701369
30,2.2613239807822277e-10,114.40281316986179
31,1.7591838350529945e-11,121.33303929933142
32,2.2286581036128194e-11,107.9353205376248
33,1.3426193528703765e-12,123.44496402254552
34,7.470799117124385e-13,123.74960362953492
35,1.5086226408261999e-12,75.93815266529657
36,1.8236279451172276e-11,69.95695121981525
37,2.230816578722688e-09,69.34883478576593
38,1.3321393470263399e-11,80.24297322048666
39,1.3245061462891741e-11,78.39098563844969
40,7.942531444304009e-10,67.81251237679926
41,1.4356768026105594e-11,82.26026236071688
42,2.230816578722688e-09,69.34883478576593
43,5.493395648296959e-12,88.77591547811866
44,3.0566014653679687e-10,76.18015307623801
45,5.525054385275721e-12,90.62790306015565
46,2.007394002016614e-09,80.27562997126998
47,2.278388502256095e-12,99.16084531778768
48,1.691053293803581e-10,74.63280510119041
49,2.6408884974244354e-11,89.4617799802483
50,1.1105832008305628e-09,78.72828199622238
51,1.4610070939054013e-09,75.01402999633065
52,2.99064464308896e-10,72.25655741618814
53,4.67043768919503e-11,87.08553229524601
54,1.73545077910493e-10,76.27906091523559
55,1.899501119637042e-09,63.2625670486692
56,4.6469927206038467e-08,59.345129841237174
57,3.483827425309263e-10,84.1778096648238
58,8.146020869106924e-10,86.7369641508891
59,9.846936468006282e-09,80.75576270540778
60,5.713051462747184e-11,65.09875439252946
61,8.36325138150257e-06,49.722649791848646
62,3.072022605373973e-13,103.92055553024684
63,1.5945372530841975e-12,98.48051806482803
64,2.977208048594704e-14,113.19446743527845
65,4.061680654716917e-13,108.85595770131442
66,6.47691146664468e-11,97.59078594040861
67,7.013389807113686e-09,72.11733293198937
68,1.2677269362224991e-10,86.565082915907
69,8.823628933890104e-12,102.57011664884371
70,4.90977275936105e-12,102.8747562558331
71,8.325676333017117e-10,90.66055981093896
72,1.2918897187167946e-11,93.18705754622093
73,1.3491992450014324e-09,87.58708099587984
74,5.5010041902152323e-08,66.55767302684949
75,3.0566014653679687e-10,76.18015307623801
76,1.7370034129667654e-11,93.39640120637907
77,2.3800815808485485e-14,113.12812150572121
78,6.80266638805569e-17,130.60425898740098
79,6.812342706032838e-15,121.28641854500182
80,1.809216828120204e-14,116.84237350561294
81,4.6059771913737586e-08,76.21280982702133
82,2.964248459546106e-10,89.12423740197228
83,3.5831931596482856e-09,83.14303595649098
84,1.5616404853710558e-10,87.20585610073962
85,8.603431328246937e-11,89.63784193487
86,1.4479846048130332e-13,111.07698183248124
87,1.4097513540164117e-06,60.217711868056114
88,8.653013369478658e-11,91.48982951690697
89,1.5641021573982628e-12,105.93757950082461
90,8.603431328246937e-11,89.63784193487
91,2.0834322235534296e-14,103.32314212850719
92,3.4916558564670545e-11,94.39718215131587
93,4.78724718468384e-11,89.94248154185937
94,8.65333650815094e-13,104.39023152577701
95,9.595025424279052e-09,79.10950689136261
96,7.464394207448012e-10,86.03973302083226
97,9.456420817150393e-10,72.64201425912565
98,1.8225011378143456e-11,87.23514717985991
99,3.043409931091854e-08,65.0103250518019
100,2.3420679137468632e-12,93.92108253351536
101,1.0356897136860605e-12,104.45139531000099
102,1.3155293745308165e-08,74.65480628190613
103,2.377925752527089e-10,89.10255626582378
104,1.8498935050230297e-11,96.03278239529342
105,1.3021943059491519e-13,92.25754368297532
106,8.0826650974611e-08,60.56628001241301
107,1.4610070939054013e-09,75.01402999633065
108,9.609906218152925e-12,91.8490532313315
109,2.5482396016973342e-08,74.66546185197373
110,1.6399593397970775e-10,87.57688942692471
111,1.982388173143219e-09,81.59568798144338
112,3.199737520673873e-16,127.36652782948072
113,9.325734997745178e-15,111.00039654433041
114,1.0207286938320212e-13,97.98390267776401
115,8.41869025772968e-11,84.01225231164688
116,3.471518916973763e-09,79.64479256040886
117,3.493772972078853e-08,70.21076124251725
118,6.315277244761196e-10,84.6585112264349
119,4.912933191916548e-11,91.58873735590454
120,6.224050126258332e-11,78.19101859419791
121,3.749579237480704e-12,93.70066207911864
122,2.08639576042692e-12,94.00530168610803
123,8.603431328246937e-11,89.63784193487
124,4.78724718468384e-11,89.94248154185937
125,2.1465880889163816e-07,56.12223497302415
126,3.072022605373973e-13,103.92055553024684
127,4.7734413106193545e-11,91.00912795529588
128,1.150918804988327e-10,80.62419811562688
129,6.540433599091007e-12,97.84044624576795
130,1.1443240037085167e-10,78.77221053358993
