SMILES,molar_mass,log_p_sat,c,volatility
C(=O),30.026,2.807517771623312,8045.674210383999,VOC
C(=O)(N(=O)(=O)),75.0235,1.0126563856290278,322.404353589345,VOC
C(=O)(N(=O)(=O))C(=O),103.0336,1.1308987878645131,581.3328345562505,VOC
C(=O)(N(=O)(=O))C(=O)(O),119.033,-0.6168491461038254,12.00509011033686,VOC
C(=O)(N(=O)(=O))C(=O)(OO),135.0324,-0.5011975245005873,17.77410138906627,VOC
C(=O)(N(=O)(=O))C(=O)C(=O)(O),147.0431,-0.9719780623040511,6.546569438990383,VOC
C(=O)(N(=O)(=O))C(=O)C(=O)(OO),163.0425,-1.1705096814614775,4.595558887240996,VOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)C(O)C(=O)(O),233.0893,-4.481892070403472,0.0032075797146214153,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)CC(=O)(O),217.0899,-3.8302844450783,0.013393755432572206,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)C(=O),231.1165,-4.94847793247568,0.0010861760202215704,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)OC(=O),247.1159,-2.852014679316195,0.14502177003103622,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(=O)C(=O)(O),233.0893,-4.105314733484926,0.007634046398026618,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(O)C(=O)(O),235.1052,-7.226845046717582,5.8205547561574605e-06,SVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(OO)C(=O)(O),251.1046,-8.148184496429822,7.451048035986843e-07,SVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(OO),177.0691,-1.5340523382350617,2.1609147437851313,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(=O)C,219.1058,-3.1067820598361013,0.07151860013152049,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(O)C(=O)(O),251.1046,-6.833945949009994,1.536228828331516e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(ON(=O)(=O)),308.1129,-4.047182759303713,0.011536506453722,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(OO),279.1147,-5.272462061189151,0.0006221109415827203,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C=CC(=O)(OO),217.0899,-4.101078715672589,0.007179729692778184,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C,217.0899,-1.2739822560777478,4.821748494338872,VOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C(OO),249.0887,-1.9432856704836057,1.1847195266622534,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(OO),221.0786,-2.549596913844633,0.26031367469381156,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(O))C(=O),251.1046,-4.842311935701042,0.0015069190529465014,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(ON(=O)(=O)))C(=O),296.1022,-3.829403513931183,0.0183056566073658,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(OO))C(=O),267.104,-5.121998441717584,0.0008418391931195625,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O),235.1052,-2.9637704559137057,0.10666918329657617,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(O),251.1046,-4.642193098236461,0.0023889593581866426,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OO),267.104,-3.67111717372172,0.023774446190117742,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OON(=O)(=O)),312.1016,-2.6643415477106984,0.28216402279544794,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O),221.0786,-2.7878123955960423,0.15041165889787733,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OO),253.0774,-4.865511622506672,0.0014397561177463512,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OON(=O)(=O)),298.075,-2.3270713095572777,0.5858702346735042,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(ON(=O)(=O)),296.1022,-4.219952583815979,0.007447941235049744,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(OO),267.104,-4.935373286450723,0.00129376171811756,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(O))C(=O)C,263.1153,-6.388804052293188,4.486309606212127e-05,SVOC
