compound,p0,DeltaH
0,3.858318671865242e-07,81.97335837308883
1,2.916387702043598e-11,90.07292158759164
2,0.013090577033764768,49.58471188764207
3,1.9026151774927603e-06,59.581673165333314
4,5.644710227459864e-10,115.0175771352457
5,2.850704997070123e-06,74.8977732282726
6,2.2988639242415125e-06,75.81731074980019
7,3.734595604978842e-06,76.21427818768836
8,8.428930839907448e-14,122.18259108806386
9,8.55559998194462e-06,75.8537664405345
10,1.2643250935089765e-05,71.71436100813501
11,1.6618935899052208e-06,69.38324631793951
12,0.0004897669951986497,63.46278824492254
13,4.994873330468216e-08,86.77255123362345
14,0.0006284209601295485,59.588416832170836
15,6.423025582186548e-06,60.60165642534758
16,2.4669159269241953e-09,106.92562602552238
17,8.316212582788095e-08,88.54938424313585
18,4.488114051991596e-06,73.98359963275313
19,2.813203352583412e-05,59.647256808873294
20,0.0005705183662161883,53.64753203189072
21,0.002519467189101717,54.01779309607147
22,7.164020600143917e-07,64.02571820472218
23,7.469393273476882e-11,105.5368982782702
24,7.164020600143917e-07,64.02571820472218
25,7.164020600143917e-07,64.02571820472218
26,8.090209490031297e-10,100.58612087064277
27,6.377853904642576e-08,75.39595625724343
28,1.447732371746412e-07,81.36113293953917
29,0.06113805247042492,39.21043761804069
30,0.00282014220920726,45.305383192226806
31,6.839053541082815e-05,49.672842943464836
32,0.0004925895489476561,65.3147758269595
33,2.5547475574174547e-07,75.47556850273541
34,2.418496821131918e-06,65.04570146473647
35,1.9054494362384602e-08,93.80440454128635
36,9.902741465312916e-07,75.47254154539426
37,8.006767128472956e-06,76.43409563723928
38,1.0740824305487817e-05,68.05579936773292
39,9.302746647808105e-07,71.58842853341984
40,3.489538840822313e-07,80.49691578148793
41,0.06470832671109834,41.24256304797816
42,1.3911438516796992e-09,90.35277557806658
43,9.468025787293852e-10,96.34416859250305
44,1.5142602158399084e-06,73.38990790130046
45,3.577367473111299e-12,120.36744313110056
46,4.627939969949746e-05,53.81224837586433
47,1.7425834542453375e-05,58.25629341525321
48,2.2395409038243404e-11,105.5631146104109
49,8.131007297554214e-07,68.05521415351325
50,0.00011800719776864178,59.35227162565232
51,0.0026645411977714068,43.27325776228934
52,1.2424047872739446e-07,78.96059337252125
53,0.0029349686828026474,49.21414256256945
54,8.37727499483012e-05,58.94215791738282
55,0.0007237653739175843,59.32338281252306
56,1.4539370768508312e-09,100.2814812636534
57,5.228557306599319e-06,57.19439991425011
58,6.6676788568994635e-06,74.71653217375642
59,3.6510149484370617e-06,63.00497806163147
60,6.300025727680339e-08,85.58480875268901
61,0.00025816066976952425,65.23990198917129
62,1.4827746760667348e-06,58.44443889855522
63,1.1798228068579796e-07,86.15145542198503
64,2.852596939789287e-09,81.10503221553724
65,0.00025816066976952425,65.23990198917129
66,1.3868673863227852e-07,94.5494841196176
67,2.4706910075670292e-08,89.98937114400243
68,1.3747365526908303e-06,67.44902310102034
69,3.061066943004634e-08,94.72006960406618
70,8.37727499483012e-05,58.94215791738282
71,0.00018308589375893742,57.13184799516014
72,1.3974290980890876e-06,71.70773354170774
73,2.4014880832485946e-08,79.84000129663231
74,1.3747365526908303e-06,67.44902310102034
75,3.155605333240223e-14,124.77464854541577
76,0.007076468378430932,38.82921272290046
77,0.0026645411977714068,43.27325776228934
78,1.0592707873202144e-05,64.09130184826218
79,3.155605333240223e-14,124.77464854541577
80,1.0262574225110377e-05,60.59305845218005
81,0.0011763961325310366,57.54230061393277
82,2.8968806565081095e-06,76.96938130628551
83,1.9147176283819066e-07,78.53905183217982
84,4.85692578756108e-09,88.81620532130854
85,0.00015055272342412204,58.63751831039343
86,1.7606503887280937e-05,68.42049955233057
87,4.71921890128608e-11,115.08347281567606
88,3.380098081167008e-10,113.75694431599443
89,2.364705516808234e-05,75.31848077148828
90,1.4550169395114355e-06,69.48114853095781
91,0.03476585556730349,45.14066684825319
92,8.162856555689756e-07,67.93459034870452
93,0.0009542962706675413,56.27693807260528
94,9.81206242207917e-09,81.46468549928882
95,7.1746925890361165e-09,98.24844958067523
96,2.1158033341412726e-11,126.96949160531418
97,0.0013082156018413694,60.870730787570636
98,0.0016129021029095511,53.08760000447627
99,7.1121705171782945e-06,66.56961517690928
100,3.598128404594268e-10,107.69647168686744
101,6.290399633158167e-09,102.52106363420891
102,5.506138849964331e-10,106.57751388507926
103,2.7455979640825505e-07,76.7472268880676
104,8.55559998194462e-06,75.8537664405345
105,2.288524738139053e-12,131.70752068162483
106,5.574746837379243e-06,57.339782851066744
107,9.794093934827648e-05,43.86226479608348
108,1.3419589113098095e-05,50.693583086555556
109,2.6234916687005414e-08,85.37037012265189
110,7.812343581621174e-08,84.6652712311614
111,0.0004925895489476561,65.3147758269595
112,1.7526915073539e-07,73.00868300616023
113,4.340883957517405e-10,94.28775128054994
114,0.17185188511074742,36.79851800858928
115,0.0002625892446897611,65.51621709719103
116,0.0006856211559823355,60.795856949782404
117,6.984634787411915e-06,66.58445146661651
118,2.2021957841007914e-07,59.20044827019308
119,4.681538855136512e-14,140.23606700141087
120,2.6452179918829917e-08,85.78088609691241
121,4.041699450161409e-07,83.78586330705036
122,2.6468218819962843e-05,61.5944651881138
123,0.016139403318795507,41.8015811045477
124,5.45682404881485e-10,105.2033220685131
125,1.3480122191395877e-07,94.3446999133489
126,9.106497863011801e-07,69.48974650412535
