compound,SMILES
0,C(=O)
1,C(=O)(N(=O)(=O))
2,C(=O)(N(=O)(=O))C(=O)
3,C(=O)(N(=O)(=O))C(=O)(O)
4,C(=O)(N(=O)(=O))C(=O)(OO)
5,C(=O)(N(=O)(=O))C(=O)C(=O)(O)
6,C(=O)(N(=O)(=O))C(=O)C(=O)(OO)
7,C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)C(O)C(=O)(O)
8,C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)CC(=O)(O)
9,C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)C(=O)
10,C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)OC(=O)
11,C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(=O)C(=O)(O)
12,C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(O)C(=O)(O)
13,C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(OO)C(=O)(O)
14,C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)
15,C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(=O)C
16,C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(O)C(=O)(O)
17,C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(ON(=O)(=O))
18,C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(OO)
19,C(=O)(N(=O)(=O))C(=O)C(=O)C=CC(=O)(OO)
20,C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C
21,C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C(OO)
22,C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(OO)
23,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(O))C(=O)
24,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(ON(=O)(=O)))C(=O)
25,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(OO))C(=O)
26,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)
27,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(O)
28,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OO)
29,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OON(=O)(=O))
30,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)
31,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OO)
32,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OON(=O)(=O))
33,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(ON(=O)(=O))
34,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(OO)
35,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(=O)C(=O)C(ON(=O)(=O))
36,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(=O)C(=O)C(OO)
37,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(O))C(=O)C
38,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(OO))C(=O)C
39,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)
40,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C
41,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(O)
42,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(ON(=O)(=O))
43,C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O)
44,C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O)C(=O)
45,C(=O)(N(=O)(=O))C(=O)C(C(=O))OOC(=O)C(=O)
46,C(=O)(N(=O)(=O))C(=O)C(C(=O)C(ON(=O)(=O)))OOC(=O)C(=O)
47,C(=O)(N(=O)(=O))C(=O)C(C(O))(C(=O))OOC(=O)
48,C(=O)(N(=O)(=O))C(=O)C(C(O))(C(=O))OOC(=O)C(=O)
