compound,p0,DeltaH
0,1.2614644763258165,31.81918730015417
1,0.2039555555608834,36.80439631960556
2,0.003686661638491841,51.2521463035232
3,2.372608597201449e-05,64.16357387847415
4,0.00028680169736232955,58.18237243299285
5,1.034039047365478e-06,68.2263940227228
6,1.2499497568758305e-05,62.2451925772415
7,4.864422752160278e-12,97.63110258560981
8,7.395447975585934e-10,80.79607935060898
9,2.846062024147186e-10,89.16372005004773
10,9.196348887472229e-12,120.0023257190904
11,4.864422752160278e-12,97.63110258560981
12,2.7643508708448495e-13,114.84735071575089
13,1.5293667487685513e-13,113.3000027407033
14,5.308213589761917e-07,64.66175690744498
15,8.71094151241229e-09,73.16862209108251
16,1.5293667487685513e-13,113.3000027407033
17,1.354624704156282e-10,85.98475371920222
18,7.537601049925224e-11,86.28939332619161
19,6.019207806917083e-08,74.05886853348981
20,3.71315214861314e-09,98.72325744470068
21,1.3512261690158534e-11,114.01093270465394
22,3.100396289229748e-10,109.94811256040529
23,5.600611944395594e-13,135.6818814442515
24,5.568520260205069e-13,133.82989386221453
25,3.098517547411346e-13,134.1345334692039
26,8.514686402991743e-11,118.84685820925067
27,5.479759235641934e-13,131.75828578420163
28,6.623950750969865e-12,125.77708433872031
29,8.39168779574222e-12,112.37936557701369
30,2.2613239807822277e-10,114.40281316986179
31,1.7591838350529945e-11,121.33303929933142
32,2.2286581036128194e-11,107.9353205376248
33,1.3426193528703765e-12,123.44496402254552
34,7.470799117124385e-13,123.74960362953492
35,5.4694832616174575e-08,64.70568544481252
36,3.043409931091854e-08,65.0103250518019
37,9.728944168126158e-10,77.08182735071725
38,1.1760379289922173e-08,71.10062590523594
39,1.665152153353464e-07,70.1112845760464
40,1.511725334299388e-07,64.17039977576628
41,9.943510028681422e-10,81.00542301076712
42,9.886533400635391e-10,79.15343542873016
43,5.9285570421630496e-08,68.57496216707972
44,1.0716346391666976e-09,83.02271215099735
45,1.665152153353464e-07,70.1112845760464
46,9.886533400635391e-10,79.15343542873016
47,2.2815441486969182e-08,76.94260286651848
48,4.1240755940161513e-10,91.3903528504361
49,1.4983824654022823e-07,81.03807976155043
50,4.100444509974799e-10,89.53836526839913
51,1.2622557410008112e-08,75.3952548914709
52,2.281629350824251e-10,89.84300487538852
53,8.289744777672638e-08,79.49073178650285
54,2.629392885061729e-07,65.39154994694213
55,2.2323118874282138e-08,73.01900720646861
56,4.0350842995665255e-10,87.46675719038623
57,2.6984258554558307e-07,67.0378057609873
58,3.418556111038177e-07,53.64008699928067
59,3.4686625557363915e-06,60.107579631517645
60,6.269888136138128e-08,74.55532961543527
61,1.4660496450800212e-07,77.11448410150057
62,1.7721655696701933e-06,71.13328265601925
63,4.26440256726958e-09,65.86120418280991
64,7.22553785931043e-05,50.10387468698888
65,2.6541131704926893e-12,104.30178042538707
66,1.3776208276751304e-11,98.86174295996827
67,1.7452671859115218e-11,85.46402419826165
68,4.629215228761843e-11,103.95321228103016
69,3.509140883651543e-12,109.23718259645466
70,5.595810394645196e-10,97.97201083554884
71,6.059307709616792e-08,72.4985578271296
72,1.0952688799003415e-09,86.94630781104723
73,7.623286926343169e-11,102.95134154398394
74,4.24186089059068e-11,103.25598115097334
75,1.4983824654022823e-07,81.03807976155043
76,9.643074054291803e-10,93.9495073365014
77,1.1656579217590652e-08,87.96830589102008
78,4.752662837390922e-07,66.93889792198972
79,2.640789879602062e-09,76.56137797137825
80,1.5007062863017577e-10,93.7776261015193
81,2.056301883822952e-13,113.50934640086145
82,1.0577361852369679e-13,121.36300383315267
83,5.885610498556375e-14,121.66764344014206
84,1.563095988743965e-13,117.22359840075318
85,3.979392829085573e-07,76.59403472216155
86,2.5610003205481647e-09,89.50546229711252
87,3.095745500311533e-08,83.5242608516312
88,1.3491992450014324e-09,87.58708099587984
89,7.433044392246538e-10,90.01906683001023
90,1.2510047952062676e-12,111.45820672762147
91,2.2684708283144884e-08,75.0906152844815
92,1.2179726898068743e-05,60.59893676319633
93,7.475881430106486e-10,91.8710544120472
94,1.3513260379935906e-11,106.31880439596485
95,5.851885763605358e-14,119.8156558581051
96,7.433044392246538e-10,90.01906683001023
97,1.3435828969082403e-11,104.46681681392786
98,3.016660677973426e-10,94.77840704645611
99,4.1360033552639245e-10,90.3237064369996
100,7.476160609890025e-12,104.77145642091725
101,8.289744777672638e-08,79.49073178650285
102,6.448958722204901e-09,86.4209579159725
103,8.169995556873428e-09,73.02323915426588
104,1.5745731377917768e-10,87.61637207500014
105,2.629392885061729e-07,65.39154994694213
106,2.023459490561648e-11,94.3023074286556
107,8.94797357555031e-12,104.83262020514123
108,1.1365684070827978e-07,75.03603117704637
109,2.054439328407076e-09,89.48378116096401
110,1.5982391233390059e-10,96.41400729043366
111,2.0247619963113303e-10,83.01628852872703
112,6.983121755134851e-07,60.947504907553245
113,1.2622557410008112e-08,75.3952548914709
114,8.302601229620321e-11,92.23027812647173
115,2.2015841539071595e-07,75.04668674711397
116,1.4168638196912071e-09,87.95811432206493
117,1.7127095842863536e-08,81.97691287658361
118,5.758607953391415e-14,117.74404778009217
119,6.961023986109417e-13,111.76284633461087
120,8.818715933470714e-13,98.36512757290424
121,7.273434984577099e-10,84.3934772067871
122,2.999263111878344e-08,80.02601745554907
123,3.018489787049278e-07,70.59198613765749
124,5.456164444009036e-09,85.03973612157513
125,4.2445913866669073e-10,91.96996225104478
126,5.377347609685947e-10,78.57224348933815
127,3.239496877592796e-11,94.0818869742589
128,1.8025682678643777e-11,94.38652658124826
129,7.433044392246538e-10,90.01906683001023
130,4.1360033552639245e-10,90.3237064369996
131,1.8545721989315011e-06,56.50345986816436
132,2.6541131704926893e-12,104.30178042538707
133,4.1240755940161513e-10,91.3903528504361
134,9.943510028681422e-10,81.00542301076712
135,5.6506911523742305e-11,98.22167114090819
136,9.886533400635391e-10,79.15343542873016
137,5.6183125127326026e-11,96.36968355887122
138,5.501209620059661e-10,79.45807503571955
139,3.126223681352205e-11,96.67432316586061
140,6.73338721787663e-09,89.85192152084433
141,1.511725334299388e-07,64.17039977576628
142,9.728944168126158e-10,77.08182735071725
143,1.1760379289922173e-08,71.10062590523594
144,1.4898877583908601e-08,57.702907143529316
145,5.6506911523742305e-11,98.22167114090819
146,8.590822503025418e-09,81.38664790590735
147,5.501209620059661e-10,79.45807503571955
148,2.426456077628821e-13,111.66323712984075
149,3.695495838237972e-13,113.20470679387206
150,2.056301883822952e-13,113.50934640086145
151,5.461111004608094e-13,109.06530136147256
152,1.137641302960867e-13,111.96199842581386
153,1.6234790512835984e-08,79.46699168117533
154,4.0148287194771023e-07,59.72635473637741
155,2.583805640492526e-09,72.63778231132838
156,3.123312645084795e-08,66.65658086584706
157,3.956832650394915e-08,53.258862104140434
158,2.38373040884001e-09,68.76850558906116
159,1.5007062863017577e-10,93.7776261015193
160,8.302601229620321e-11,92.23027812647173
161,2.2815441486969182e-08,76.94260286651848
162,1.354624704156282e-10,85.98475371920222
163,1.4610070939054013e-09,75.01402999633065
