SMILES,molar_mass,log_p_sat,c,volatility
CC1(C)C(CC1C(=O)CC=O)ON(=O)=O,215.2032,-4.229147988357856,0.005121907579927083,IVOC
CC(=O)CCC(=O)C(C)(C)C(=O)C(=O)C(=O)CCO,270.2784,-7.716698771296451,2.0933583027568577e-06,SVOC
CCCCOC(=O)C,116.1583,-0.3736596326249576,19.8208199311896,VOC
CCC(C)(C(=O)OON(=O)=O)O,179.1281,-0.5072396109731625,22.4726925218071,VOC
C\C1=CCCC(CO)(C2CC(C)(C)C2CC1)OO,254.3651,-6.950781977329818,1.1492289241130798e-05,SVOC
CC(C)(C(=O)O)O,104.1045,-2.962573502059376,0.04577485759012614,IVOC
CCC(=CC(=O)O)C=O,128.1259,-2.616184634019569,0.1250786820033937,IVOC
CCC(=O)C=C(C)C1C(C)(C=O)O1,182.2164,-3.563837352959244,0.02006693807391073,IVOC
CC1=C(C2(C(C(C)(C1(O)OO)OO2)O)N(=O)=O)N(=O)=O,294.1724,-7.087246696328677,9.70702679921125e-06,SVOC
CC(C)(C(C)(C)ON(=O)=O)O,163.1717,-1.1951793212788375,4.199489678875812,VOC
CC(C)C(COO)O,120.147,-3.024568191490737,0.04580108232868548,IVOC
Cc1ccc(C)c(c1O)O,138.1638,-2.939302159646388,0.06409484638320387,IVOC
CCCC(C)(CC)ON(=O)=O,161.1989,-0.6345120151091003,15.086241654897801,VOC
CCCCCCC(=O)C(CC(=O)CC)O,214.3013,-4.684029654543083,0.0017894771297400306,IVOC
CCCC(=O)OCC=O,130.1418,-1.7328282715969865,0.971224297675923,IVOC
CC1=CC(=O)C=CC1=O,122.1213,-1.7721132953863266,0.8325476986460987,IVOC
C=C(CC=O)C1CC(C)(C)C1CCC(=O)O,224.2961,-6.3448615651886175,4.089697239251045e-05,SVOC
CC(C)(C(CO)OO)O,136.1464,-3.142064735280571,0.03959792494569934,IVOC
C(=O)C1C(C(=O)O)O1,116.0722,-3.72584215073632,0.00880272362119252,IVOC
C(C(=O)OO)(Cl)O,126.4958,-0.7351821769904635,9.389120877243363,VOC
CCCCOC(=O)C(=O)C,144.1684,-1.6289321377282635,1.366686618446893,IVOC
C(=CC=O)C=O,84.0734,-0.6020599913279624,8.478706871235527,VOC
CCC(C)(CC(=O)OON(=O)=O)O,193.1546,-1.3575354797578787,3.420586496215444,VOC
CCC12C=C(C)C(C(CC)(C1O)OO2)(O)OO,246.257,-6.309803919971486,4.8676087790669834e-05,SVOC
CCCCC(C(=O)OON(=O)=O)O,193.1546,-1.138465589140962,5.664615906033323,VOC
CCCC(CC(=O)OON(=O)=O)O,193.1546,-1.91721462968355,0.942804022874872,IVOC
